GEOID,GEO,NAME,DATE,POSITIVE,POS_NEW,NEGATIVE,NEG_NEW,DEATHS,DTH_NEW,TEST_NEW,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,OBJECTID
55041,County,Forest,2020/10/27 19:00:00+00,464,15,2469,54,10,0,69,20,328,116,245,219,-999,23,41,62,47,33,74,83,59,31,11,-999,7,-999,-999,-999,-999,-999,-999,-999,-999,5,-999,-999,82,-999,-999,359,-999,19,-999,425,37,-999,-999,-999,7,-999,-999,-999,9,-999,15,145,304,353554
55043,County,Grant,2020/10/27 19:00:00+00,1833,24,16564,58,30,1,82,95,1211,527,948,884,-999,44,272,589,180,174,215,164,95,67,33,17,13,-999,-999,-999,-999,-999,-999,-999,-999,7,9,9,-999,8,7,1527,54,235,70,1463,300,-999,-999,-999,26,-999,-999,-999,27,-999,104,754,975,353581
55045,County,Green,2020/10/27 19:00:00+00,932,8,10334,42,5,0,50,55,608,269,453,479,-999,31,155,142,115,159,173,77,50,17,13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,871,29,23,74,807,51,-999,-999,-999,5,-999,-999,-999,5,-999,57,470,405,353614
55047,County,Green Lake,2020/10/27 19:00:00+00,741,16,5194,19,3,1,35,33,304,404,390,351,-999,25,81,121,106,113,125,82,63,21,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,657,27,52,81,559,101,-999,-999,-999,-999,-999,-999,-999,-999,-999,28,221,492,353628
55049,County,Iowa,2020/10/27 19:00:00+00,466,8,7025,23,1,0,31,25,227,214,248,217,-999,23,45,78,75,42,89,66,26,15,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436,8,17,18,421,27,-999,-999,-999,-999,-999,-999,-999,-999,-999,28,142,296,353655
55051,County,Iron,2020/10/27 19:00:00+00,190,6,1758,6,4,2,12,10,148,32,98,92,-999,11,22,17,29,23,28,33,16,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,145,-999,38,6,119,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,39,142,353681
55053,County,Jackson,2020/10/27 19:00:00+00,472,8,7371,10,1,0,18,12,206,254,187,285,-999,21,34,68,93,83,84,52,25,11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,49,-999,24,378,7,10,23,425,24,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,133,329,353689
55055,County,Jefferson,2020/10/27 19:00:00+00,2697,76,24253,186,11,1,262,126,1717,854,1371,1322,-999,82,273,527,425,408,429,316,155,60,22,6,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,31,19,35,2127,252,233,489,1886,322,-999,-999,-999,10,-999,-999,-999,10,-999,106,812,1779,353713
55057,County,Juneau,2020/10/27 19:00:00+00,774,15,10704,12,4,0,27,49,238,487,321,432,21,9,51,147,115,128,126,103,69,21,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21,-999,51,519,21,159,23,538,213,-999,-999,-999,-999,-999,-999,-999,-999,-999,26,214,534,353755
55059,County,Kenosha,2020/10/27 19:00:00+00,4958,9,47925,290,76,0,299,347,2005,2606,2568,2385,5,164,412,1140,837,686,775,491,245,147,61,38,38,-999,-999,-999,-999,-999,-999,10,13,19,24,9,10,66,427,3541,400,514,1027,2884,1047,-999,-999,5,68,-999,-999,17,56,-999,473,3654,831,353782
55061,County,Kewaunee,2020/10/27 19:00:00+00,1069,35,5080,16,7,1,51,37,624,408,559,509,-999,28,81,171,164,169,214,127,80,28,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,906,38,116,63,821,185,-999,-999,-999,6,-999,-999,-999,7,-999,27,267,775,353856
55063,County,La Crosse,2020/10/27 19:00:00+00,4187,84,32175,294,20,0,378,87,1035,3065,2192,1984,11,56,881,1820,370,286,323,234,117,64,36,7,13,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,7,7,170,84,3172,110,644,61,3178,948,-999,-999,-999,20,-999,-999,-999,20,-999,245,1634,2308,353880
